codigo,nombre,nivel,fecha_reav,url_reav,resumen,fecha_scrape
TAA,Taapaca,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
PAR,Parinacota,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
GUA,Guallatiri,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
ISL,Isluga,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
IRR,Irruputuncu,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
OLL,Ollague,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
SDP,San Pedro,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
LAS,Lascar,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
TAT,Tata Sabaya,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
OLC,Olca-Paruma,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
PUT,Putana,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
SOC,Socompa,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
LLU,Llullaillaco,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
LST,Lastarria,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
AZU,Azufre,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
BAY,Bayo,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
SFR,San Francisco,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
INC,Incahuasi,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
NTC,Nevado Tres Cruces,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
ODS,Ojos del Salado,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
COP,Copiapo,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
TIP,Tipas,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
TUP,Tupungatito,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
SJO,San Jose,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
TIN,Tinguiririca,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
PLP,Planchon-Peteroa,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
DGR,Descabezado Grande,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
TSP,Tatara-San Pedro,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
LDM,Laguna del Maule,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
NLO,Nevado de Longavi,Amarillo,2026-02-01,https://www.sernageomin.cl/alertas-volcanicas/,Alerta amarillo vigente segun SERNAGEOMIN (imagen: https://www.sernageomin.cl/wp-content/uploads/2026/02/Alerta_nevado-longavi_amarilla.png),2026-06-07T12:04:07Z
NCH,Nevados de Chillan,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
ANT,Antuco,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
CPA,Copahue,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
CAL,Callaqui,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
LON,Lonquimay,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
LLA,Llaima,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
SOL,Sollipulli,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
VIL,Villarrica,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
QUE,Quetrupillan,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
LAN,Lanin,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
MCH,Mocho-Choshuenco,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
CLV,Carran-Los Venados,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
PCC,Puyehue-Cordon Caulle,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
ACA,Antillanca-Casablanca,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
PUN,Puntiagudo,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
OSO,Osorno,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
CLB,Calbuco,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
TRO,Tronador,,,,Volcan no incluido en monitoreo permanente OVDAS,2026-06-07T12:04:07Z
YAT,Yate,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
HOR,Hornopiren,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
HUE,Huequi,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
MIC,Michinmahuida,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
CHA,Chaiten,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
COR,Corcovado,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
MEL,Melimoyu,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
MEN,Mentolat,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
CAY,Cay,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
MAC,Maca,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
HUD,Hudson,Verde,,https://www.sernageomin.cl/alertas-volcanicas/,Sin alerta publicada; OVDAS mantiene vigilancia 24/7 (nivel verde por defecto),2026-06-07T12:04:07Z
