codigo,nombre_proyecto,gvp_id,nombre_oficial_gvp,tipo_morfologico,elevacion_gvp,composicion,region_smithsonian,subregion_smithsonian,ultima_erupcion_anio,ultima_erupcion_vei,ultima_erupcion_duracion_dias,vei_maximo,num_erupciones_holoceno,num_erupciones_siglo_xx_xxi,epoca_gvp,url_pagina_si_edu,metodo_match
TAA,Taapaca,355011,Taapaca,Complex,5860.0,Dacite,South America Volcanic Regions,Central Andean Volcanic Arc,-320.0,,,,8,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355011,nombre
PAR,Parinacota,355012,Parinacota,Stratovolcano,6336.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,290.0,4.0,,4.0,6,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355012,nombre
GUA,Guallatiri,355020,Guallatiri,Stratovolcano,6071.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,1985.0,,,2.0,6,5,Holocene,https://volcano.si.edu/volcano.cfm?vn=355020,nombre
ISL,Isluga,355030,Isluga,Stratovolcano,5550.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,1960.0,2.0,,2.0,8,2,Holocene,https://volcano.si.edu/volcano.cfm?vn=355030,nombre
IRR,Irruputuncu,355040,Irruputuncu,Stratovolcano,5163.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,1995.0,2.0,0.0,2.0,2,2,Holocene,https://volcano.si.edu/volcano.cfm?vn=355040,nombre
OLL,Ollague,355060,Ollague,Stratovolcano,5868.0,,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Pleistocene,https://volcano.si.edu/volcano.cfm?vn=355060,nombre
SDP,San Pedro,355070,San Pedro-San Pablo,Stratovolcano(es),6142.0,,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Pleistocene,https://volcano.si.edu/volcano.cfm?vn=355070,sinonimo
LAS,Lascar,355100,Lascar,Stratovolcano(es),5592.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,2026.0,,0.0,4.0,38,29,Holocene,https://volcano.si.edu/volcano.cfm?vn=355100,nombre
TAT,Tata Sabaya,355032,Tata Sabaya,Stratovolcano,5430.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355032,nombre
OLC,Olca-Paruma,355050,Olca-Paruma,Stratovolcano(es),5705.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,1865.0,,730.0,,1,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355050,nombre
PUT,Putana,355090,Putana,Stratovolcano,5884.0,Dacite,South America Volcanic Regions,Central Andean Volcanic Arc,1972.0,,,,2,1,Holocene,https://volcano.si.edu/volcano.cfm?vn=355090,nombre
SOC,Socompa,355109,Socompa,Stratovolcano,6031.0,Dacite,South America Volcanic Regions,Central Andean Volcanic Arc,-5250.0,,,,1,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355109,nombre
LLU,Llullaillaco,355110,Llullaillaco,Stratovolcano,6739.0,Dacite,South America Volcanic Regions,Central Andean Volcanic Arc,1877.0,2.0,,2.0,3,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355110,nombre
LST,Lastarria,355120,Lastarria,Stratovolcano,5706.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355120,nombre
AZU,Azufre,355121,Cordon del Azufre,Complex,5481.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355121,substring+geo
BAY,Bayo,355122,"Bayo Gorbea, Cerro",Complex,5413.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355122,substring+geo
SFR,San Francisco,355861,San Francisco,Stratovolcano,6032.0,,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Pleistocene,https://volcano.si.edu/volcano.cfm?vn=355861,nombre
INC,Incahuasi,355125,"Incahuasi, Nevado de",Stratovolcano(es),6638.0,Dacite,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355125,substring+geo
NTC,Nevado Tres Cruces,355862,Tres Cruces,Stratovolcano,6620.0,,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Pleistocene,https://volcano.si.edu/volcano.cfm?vn=355862,substring+geo
ODS,Ojos del Salado,355130,"Ojos del Salado, Nevados",Stratovolcano,6879.0,Dacite,South America Volcanic Regions,Central Andean Volcanic Arc,1993.0,1.0,0.0,1.0,2,1,Holocene,https://volcano.si.edu/volcano.cfm?vn=355130,substring+geo
COP,Copiapo,355140,Copiapo,Stratovolcano,6052.0,,South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Pleistocene,https://volcano.si.edu/volcano.cfm?vn=355140,nombre
TIP,Tipas,355220,Tipas,Complex,6658.0,No Data (checked),South America Volcanic Regions,Central Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=355220,nombre
TUP,Tupungatito,357010,Tupungatito,Stratovolcano,5660.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,1987.0,2.0,0.0,2.0,20,14,Holocene,https://volcano.si.edu/volcano.cfm?vn=357010,nombre
SJO,San Jose,357020,San Jose,Stratovolcano(es),6070.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,1960.0,2.0,,2.0,7,2,Holocene,https://volcano.si.edu/volcano.cfm?vn=357020,nombre
TIN,Tinguiririca,357030,Tinguiririca,Stratovolcano,4280.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,1994.0,2.0,0.0,2.0,2,2,Holocene,https://volcano.si.edu/volcano.cfm?vn=357030,nombre
PLP,Planchon-Peteroa,357040,Planchon-Peteroa,Stratovolcano(es),3977.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,2025.0,,0.0,4.0,25,12,Holocene,https://volcano.si.edu/volcano.cfm?vn=357040,nombre
DGR,Descabezado Grande,357050,Descabezado Grande,Stratovolcano(es),3953.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,1932.0,3.0,365.0,3.0,1,1,Holocene,https://volcano.si.edu/volcano.cfm?vn=357050,nombre
TSP,Tatara-San Pedro,357062,San Pedro-Pellado,Stratovolcano(es),3621.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,,,,,0,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=357062,sinonimo
LDM,Laguna del Maule,357061,"Maule, Laguna del",Caldera,2162.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,-50.0,0.0,,0.0,4,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=357061,sinonimo
NLO,Nevado de Longavi,357063,"Longavi, Nevado de",Stratovolcano,3175.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,-4890.0,,,,1,0,Holocene,https://volcano.si.edu/volcano.cfm?vn=357063,geo
NCH,Nevados de Chillan,357070,"Chillan, Nevados de",Stratovolcano,3180.0,Andesite / Basaltic Andesite,South America Volcanic Regions,Southern Andean Volcanic Arc,2016.0,2.0,2190.0,3.0,32,16,Holocene,https://volcano.si.edu/volcano.cfm?vn=357070,geo
