quebrada,tipo,volcan,codigo,tramos
30 de Marzo,stream,Michinmahuida,MIC,1
Aducción Maule,canal,Descabezado Grande,DGR,2
Aducción Maule,canal,Laguna del Maule,LDM,2
Aducción Maule,canal,Nevado de Longavi,NLO,2
Aducción Maule,canal,Tatara-San Pedro,TSP,2
Alerzal o Esperanza,river,HornopirÃ©n,HOR,1
Ancoa,stream,Nevado de Longavi,NLO,1
Arroyo Acol,river,CarrÃ¡n-Los Venados,CLV,1
Arroyo Acol,river,Mocho-Choshuenco,MCH,1
Arroyo Agua Dulce,stream,Incahuasi,INC,3
Arroyo Agua Dulce,stream,Nevado Tres Cruces,NTC,3
Arroyo Agua Dulce,stream,Ojos del Salado,ODS,3
Arroyo Agua Dulce,stream,San Francisco,SFR,3
Arroyo Agua Dulce,stream,Tipas,TIP,3
Arroyo Aguas Calientes,stream,Putana,PUT,1
Arroyo Ailín-Co,stream,Sollipulli,SOL,7
Arroyo Alambre,river,Copahue,CPA,1
Arroyo Alejandro,stream,Michinmahuida,MIC,5
Arroyo Allinco,river,Laguna del Maule,LDM,2
Arroyo Ancanluco,river,Antillanca-Casablanca,ACA,1
Arroyo Ancanluco,river,CarrÃ¡n-Los Venados,CLV,1
Arroyo Ancanluco,river,Puntiagudo,PUN,1
Arroyo Ancanluco,river,Puyehue-CordÃ³n Caulle,PCC,1
Arroyo Ancuta,stream,Guallatiri,GUA,3
Arroyo Ancuta,stream,Parinacota,PAR,3
Arroyo Ancuta,stream,Taapaca,TAA,3
Arroyo Angostura,river,Tronador,TRO,1
Arroyo Apoco,river,Tronador,TRO,1
Arroyo Arenas Blancas,stream,Descabezado Grande,DGR,3
Arroyo Arenas Blancas,stream,Laguna del Maule,LDM,3
Arroyo Arenas Blancas,stream,Tatara-San Pedro,TSP,3
Arroyo Arguilén,stream,Nevados de Chillan,NCH,4
Arroyo Aseret,stream,Lanin,LAN,6
Arroyo Aseret,river,QuetrupillÃ¡n,QUE,2
Arroyo Atreuco,stream,Lanin,LAN,22
Arroyo Avilés,stream,Tronador,TRO,2
Arroyo Ayhuin,river,Antillanca-Casablanca,ACA,1
Arroyo Ayhuin,river,CarrÃ¡n-Los Venados,CLV,1
Arroyo Ayhuin,river,Puyehue-CordÃ³n Caulle,PCC,1
Arroyo Azul,river,Antuco,ANT,1
