volcan,peligro_nivel,n_manzanas,poblacion_estimada
Apagado o Hualaihué,Alto,56,1337
Apagado o Hualaihué,Medio,46,1059
Chaitén,Alto,191,1541
Chaitén,Medio,7,169
Descabezado Grande,Medio,5,282
Hornopirén,Alto,30,681
Hornopirén,Bajo,48,1878
Hornopirén,Medio,51,1206
Hudson,Bajo,1,0
Llaima,Alto,71,3316
Llaima,Medio,43,1513
Lonquimay,Alto,19,309
Mocho - Choshuenco,Bajo,48,1094
Mocho - Choshuenco,Medio,55,1568
Nevados Chillan,Alto,7,169
Nevados Chillan,Medio,12,303
Osorno,Alto,35,708
Puyehue-Cordón Caulle,Bajo,55,1903
Quetrupillán,Alto,50,1516
Quetrupillán,Medio,11,142
San Jose,Bajo,79,4069
Sollipulli,Alto,52,2013
Sollipulli,Medio,13,578
Taapaca,Alto,37,932
Villarrica,Alto,473,20616
Villarrica,Bajo,615,33034
Villarrica,Medio,32,1059
Yate,Alto,11,141
Yate,Bajo,21,150
Yate,Medio,30,513
