codigo,nombre,lat,lon,n_sismos,mag_max,mag_promedio,mas_reciente
TAA,Taapaca,-18.1,-69.5,0,,,
PAR,Parinacota,-18.17,-69.15,0,,,
GUA,Guallatiri,-18.42,-69.09,0,,,
ISL,Isluga,-19.15,-68.83,0,,,
IRR,Irruputuncu,-20.73,-68.55,1,4.1,4.1,2026-06-04T21:59:24Z
OLL,Ollague,-21.3,-68.18,1,4.2,4.2,2026-06-03T14:10:32Z
SDP,San Pedro,-21.88,-68.4,1,4.2,4.2,2026-06-03T14:10:32Z
LAS,Lascar,-23.37,-67.73,0,,,
TAT,Tata Sabaya,-19.12,-68.53,0,,,
OLC,Olca-Paruma,-20.93,-68.48,1,4.1,4.1,2026-06-04T21:59:24Z
PUT,Putana,-22.58,-67.87,0,,,
SOC,Socompa,-24.38,-68.23,0,,,
LLU,Llullaillaco,-24.72,-68.53,0,,,
LST,Lastarria,-25.17,-68.52,0,,,
AZU,Azufre,-25.33,-68.52,0,,,
BAY,Bayo,-25.37,-68.5,0,,,
SFR,San Francisco,-26.88,-68.28,0,,,
INC,Incahuasi,-27.02,-68.3,0,,,
NTC,Nevado Tres Cruces,-27.08,-68.78,0,,,
ODS,Ojos del Salado,-27.12,-68.53,0,,,
COP,Copiapo,-27.15,-69.02,0,,,
TIP,Tipas,-27.2,-68.67,0,,,
TUP,Tupungatito,-33.4,-69.8,0,,,
SJO,San Jose,-33.78,-69.9,0,,,
TIN,Tinguiririca,-34.81,-70.35,0,,,
PLP,Planchon-Peteroa,-35.24,-70.57,0,,,
DGR,Descabezado Grande,-35.58,-70.75,0,,,
TSP,Tatara-San Pedro,-36.0,-70.8,0,,,
LDM,Laguna del Maule,-36.02,-70.6,0,,,
NLO,Nevado de Longavi,-36.19,-71.16,0,,,
NCH,Nevados de Chillan,-36.86,-71.38,0,,,
ANT,Antuco,-37.41,-71.35,0,,,
CPA,Copahue,-37.85,-71.17,0,,,
CAL,Callaqui,-37.92,-71.45,0,,,
LON,Lonquimay,-38.38,-71.58,0,,,
LLA,Llaima,-38.69,-71.73,0,,,
SOL,Sollipulli,-38.97,-71.52,0,,,
VIL,Villarrica,-39.42,-71.93,0,,,
QUE,Quetrupillan,-39.5,-71.7,0,,,
LAN,Lanin,-39.64,-71.5,0,,,
MCH,Mocho-Choshuenco,-39.93,-72.03,0,,,
CLV,Carran-Los Venados,-40.35,-72.07,0,,,
PCC,Puyehue-Cordon Caulle,-40.59,-72.12,0,,,
ACA,Antillanca-Casablanca,-40.77,-72.15,0,,,
PUN,Puntiagudo,-40.97,-72.27,0,,,
OSO,Osorno,-41.1,-72.49,0,,,
CLB,Calbuco,-41.33,-72.61,0,,,
TRO,Tronador,-41.17,-71.88,0,,,
YAT,Yate,-41.76,-72.4,0,,,
HOR,Hornopiren,-41.87,-72.43,0,,,
HUE,Huequi,-42.38,-72.58,0,,,
MIC,Michinmahuida,-42.79,-72.44,0,,,
CHA,Chaiten,-42.83,-72.65,0,,,
COR,Corcovado,-43.18,-72.8,0,,,
MEL,Melimoyu,-44.08,-72.88,0,,,
MEN,Mentolat,-44.7,-73.08,0,,,
CAY,Cay,-45.07,-73.0,0,,,
MAC,Maca,-45.1,-73.17,0,,,
HUD,Hudson,-45.9,-72.97,0,,,
